date,team_name,opponent,xGF,xGA,xGF%,CF%,FF%,SF%,HDCF%,SCF%,PDO
2021-10-12,Pittsburgh Penguins,Tampa Bay Lightning,2.53,1.32,65.65,53.47,57.14,58.18,75.0,66.67,1.094
2021-10-12,Tampa Bay Lightning,Pittsburgh Penguins,1.32,2.53,34.35,46.53,42.86,41.82,25.0,33.33,0.906
2021-10-12,Seattle Kraken,Vegas Golden Knights,2.15,2.23,49.1,54.26,54.17,55.32,57.89,51.16,0.925
2021-10-12,Vegas Golden Knights,Seattle Kraken,2.23,2.15,50.9,45.74,45.83,44.68,42.11,48.84,1.075
2021-10-13,Montreal Canadiens,Toronto Maple Leafs,1.75,2.81,38.46,43.75,41.89,51.02,31.82,38.6,0.998
2021-10-13,Toronto Maple Leafs,Montreal Canadiens,2.81,1.75,61.54,56.25,58.11,48.98,68.18,61.4,1.002
2021-10-13,New York Rangers,Washington Capitals,1.17,1.2,49.29,47.62,42.55,41.38,25.0,36.36,0.941
2021-10-13,Washington Capitals,New York Rangers,1.2,1.17,50.71,52.38,57.45,58.62,75.0,63.64,1.059
2021-10-13,Chicago Blackhawks,Colorado Avalanche,0.99,2.42,29.06,42.55,42.19,44.9,21.43,30.61,0.897
2021-10-13,Colorado Avalanche,Chicago Blackhawks,2.42,0.99,70.94,57.45,57.81,55.1,78.57,69.39,1.103
2021-10-13,Edmonton Oilers,Vancouver Canucks,2.43,1.68,59.15,56.18,53.97,52.83,60.0,62.22,0.996
2021-10-13,Vancouver Canucks,Edmonton Oilers,1.68,2.43,40.85,43.82,46.03,47.17,40.0,37.78,1.004
2021-10-13,Anaheim Ducks,Winnipeg Jets,1.19,1.63,42.18,33.87,36.73,38.71,63.64,42.86,1.114
2021-10-13,Winnipeg Jets,Anaheim Ducks,1.63,1.19,57.82,66.13,63.27,61.29,36.36,57.14,0.886
2021-10-14,Buffalo Sabres,Montreal Canadiens,1.54,0.66,69.9,52.63,56.67,50.0,77.78,65.38,1.045
2021-10-14,Montreal Canadiens,Buffalo Sabres,0.66,1.54,30.1,47.37,43.33,50.0,22.22,34.62,0.955
2021-10-14,Ottawa Senators,Toronto Maple Leafs,3.3,2.85,53.65,52.83,51.19,48.44,50.0,58.46,1.065
2021-10-14,Toronto Maple Leafs,Ottawa Senators,2.85,3.3,46.35,47.17,48.81,51.56,50.0,41.54,0.935
2021-10-14,Detroit Red Wings,Tampa Bay Lightning,1.74,2.33,42.74,36.36,34.55,35.56,31.58,36.84,1.181
2021-10-14,Tampa Bay Lightning,Detroit Red Wings,2.33,1.74,57.26,63.64,65.45,64.44,68.42,63.16,0.819
2021-10-14,Florida Panthers,Pittsburgh Penguins,2.13,2.15,49.82,50.0,52.94,55.77,52.63,56.52,1.051
2021-10-14,Pittsburgh Penguins,Florida Panthers,2.15,2.13,50.18,50.0,47.06,44.23,47.37,43.48,0.949
2021-10-14,Dallas Stars,New York Rangers,1.53,2.45,38.47,40.63,41.79,42.22,57.89,44.68,0.976
2021-10-14,New York Rangers,Dallas Stars,2.45,1.53,61.53,59.38,58.21,57.78,42.11,55.32,1.024
2021-10-14,Carolina Hurricanes,New York Islanders,2.61,2.98,46.69,58.42,56.76,56.6,42.86,57.89,1.003
2021-10-14,New York Islanders,Carolina Hurricanes,2.98,2.61,53.31,41.58,43.24,43.4,57.14,42.11,0.997
2021-10-14,Arizona Coyotes,Columbus Blue Jackets,2.8,1.38,67.02,63.64,61.84,58.49,82.35,67.86,0.805
2021-10-14,Columbus Blue Jackets,Arizona Coyotes,1.38,2.8,32.98,36.36,38.16,41.51,17.65,32.14,1.195
2021-10-14,Nashville Predators,Seattle Kraken,1.82,1.04,63.74,53.52,52.94,50.0,58.33,58.33,1.048
2021-10-14,Seattle Kraken,Nashville Predators,1.04,1.82,36.26,46.48,47.06,50.0,41.67,41.67,0.952
2021-10-14,Los Angeles Kings,Vegas Golden Knights,3.52,1.91,64.87,65.25,65.91,64.18,62.5,55.93,1.01
2021-10-14,Vegas Golden Knights,Los Angeles Kings,1.91,3.52,35.13,34.75,34.09,35.82,37.5,44.07,0.99
2021-10-15,Chicago Blackhawks,New Jersey Devils,1.35,2.47,35.26,42.31,38.71,41.46,40.0,40.82,0.875
2021-10-15,New Jersey Devils,Chicago Blackhawks,2.47,1.35,64.74,57.69,61.29,58.54,60.0,59.18,1.125
2021-10-15,Philadelphia Flyers,Vancouver Canucks,1.76,1.56,53.02,50.0,51.56,43.75,50.0,43.9,1.021
2021-10-15,Vancouver Canucks,Philadelphia Flyers,1.56,1.76,46.98,50.0,48.44,56.25,50.0,56.1,0.979
2021-10-15,Anaheim Ducks,Minnesota Wild,0.99,2.73,26.57,36.84,34.72,33.33,28.57,35.0,0.969
2021-10-15,Minnesota Wild,Anaheim Ducks,2.73,0.99,73.43,63.16,65.28,66.67,71.43,65.0,1.031
2021-10-16,Boston Bruins,Dallas Stars,1.43,1.36,51.24,63.24,62.71,66.67,50.0,56.67,0.969
2021-10-16,Dallas Stars,Boston Bruins,1.36,1.43,48.76,36.76,37.29,33.33,50.0,43.33,1.031
2021-10-16,Arizona Coyotes,Buffalo Sabres,0.85,1.57,35.19,38.89,38.6,34.88,38.89,32.35,1.067
2021-10-16,Buffalo Sabres,Arizona Coyotes,1.57,0.85,64.81,61.11,61.4,65.12,61.11,67.65,0.933
2021-10-16,Ottawa Senators,Toronto Maple Leafs,1.29,1.63,44.19,43.33,46.15,47.37,50.0,41.86,0.85
2021-10-16,Toronto Maple Leafs,Ottawa Senators,1.63,1.29,55.81,56.67,53.85,52.63,50.0,58.14,1.15
2021-10-16,Montreal Canadiens,New York Rangers,2.01,1.07,65.21,54.67,51.92,55.0,75.0,54.05,0.99
2021-10-16,New York Rangers,Montreal Canadiens,1.07,2.01,34.79,45.33,48.08,45.0,25.0,45.95,1.01
2021-10-16,Detroit Red Wings,Vancouver Canucks,1.51,1.71,46.84,36.0,33.96,39.02,54.55,42.42,1.023
2021-10-16,Vancouver Canucks,Detroit Red Wings,1.71,1.51,53.16,64.0,66.04,60.98,45.45,57.58,0.978
2021-10-16,Florida Panthers,New York Islanders,2.12,1.35,61.09,61.39,58.57,57.45,72.73,62.79,1.185
2021-10-16,New York Islanders,Florida Panthers,1.35,2.12,38.91,38.61,41.43,42.55,27.27,37.21,0.815
2021-10-16,Chicago Blackhawks,Pittsburgh Penguins,0.83,1.44,36.46,44.78,36.96,35.29,36.36,42.42,0.902
2021-10-16,Pittsburgh Penguins,Chicago Blackhawks,1.44,0.83,63.54,55.22,63.04,64.71,63.64,57.58,1.098
2021-10-16,Tampa Bay Lightning,Washington Capitals,2.22,1.11,66.66,54.84,53.85,46.81,93.33,61.9,1.005
2021-10-16,Washington Capitals,Tampa Bay Lightning,1.11,2.22,33.34,45.16,46.15,53.19,6.67,38.1,0.995
2021-10-16,Columbus Blue Jackets,Seattle Kraken,1.76,1.37,56.22,55.1,53.85,54.76,54.55,56.82,0.991
2021-10-16,Seattle Kraken,Columbus Blue Jackets,1.37,1.76,43.78,44.9,46.15,45.24,45.45,43.18,1.009
2021-10-16,Carolina Hurricanes,Nashville Predators,1.99,1.73,53.42,51.76,54.41,50.94,62.5,56.41,1.036
2021-10-16,Nashville Predators,Carolina Hurricanes,1.73,1.99,46.58,48.24,45.59,49.06,37.5,43.59,0.964
2021-10-16,Colorado Avalanche,St Louis Blues,2.27,1.51,60.08,59.09,58.21,55.32,62.5,65.85,0.896
2021-10-16,St Louis Blues,Colorado Avalanche,1.51,2.27,39.92,40.91,41.79,44.68,37.5,34.15,1.104
2021-10-16,Calgary Flames,Edmonton Oilers,2.0,1.34,60.0,63.41,61.19,61.54,58.82,67.57,0.931
2021-10-16,Edmonton Oilers,Calgary Flames,1.34,2.0,40.0,36.59,38.81,38.46,41.18,32.43,1.069
2021-10-16,Los Angeles Kings,Minnesota Wild,1.92,2.08,48.07,53.01,50.72,48.08,57.89,56.82,0.929
2021-10-16,Minnesota Wild,Los Angeles Kings,2.08,1.92,51.93,46.99,49.28,51.92,42.11,43.18,1.071
2021-10-16,San Jose Sharks,Winnipeg Jets,1.98,1.0,66.42,48.65,56.25,54.55,66.67,53.33,0.922
2021-10-16,Winnipeg Jets,San Jose Sharks,1.0,1.98,33.58,51.35,43.75,45.45,33.33,46.67,1.078
2021-10-17,Dallas Stars,Ottawa Senators,1.8,1.71,51.37,56.57,56.16,58.18,57.14,47.22,1.019
2021-10-17,Ottawa Senators,Dallas Stars,1.71,1.8,48.63,43.43,43.84,41.82,42.86,52.78,0.981
2021-10-18,New York Rangers,Toronto Maple Leafs,1.48,2.5,37.16,42.22,40.0,36.96,40.0,39.29,1.024
2021-10-18,Toronto Maple Leafs,New York Rangers,2.5,1.48,62.84,57.78,60.0,63.04,60.0,60.71,0.976
2021-10-18,Philadelphia Flyers,Seattle Kraken,2.26,2.02,52.85,57.58,58.18,58.14,52.63,64.71,1.184
2021-10-18,Seattle Kraken,Philadelphia Flyers,2.02,2.26,47.15,42.42,41.82,41.86,47.37,35.29,0.816
2021-10-18,Anaheim Ducks,Calgary Flames,1.69,3.37,33.38,39.18,43.04,39.29,31.25,25.0,0.987
2021-10-18,Calgary Flames,Anaheim Ducks,3.37,1.69,66.62,60.82,56.96,60.71,68.75,75.0,1.013
2021-10-18,Arizona Coyotes,St Louis Blues,2.25,2.15,51.07,48.0,48.44,41.86,47.37,43.24,0.927
2021-10-18,St Louis Blues,Arizona Coyotes,2.15,2.25,48.93,52.0,51.56,58.14,52.63,56.76,1.073
2021-10-19,Buffalo Sabres,Vancouver Canucks,2.42,1.51,61.57,57.69,56.92,53.45,58.33,62.86,1.055
2021-10-19,Vancouver Canucks,Buffalo Sabres,1.51,2.42,38.43,42.31,43.08,46.55,41.67,37.14,0.945
2021-10-19,Montreal Canadiens,San Jose Sharks,1.29,1.37,48.47,58.9,57.14,50.0,36.36,54.84,0.813
2021-10-19,San Jose Sharks,Montreal Canadiens,1.37,1.29,51.53,41.1,42.86,50.0,63.64,45.16,1.188
2021-10-19,Columbus Blue Jackets,Detroit Red Wings,1.77,2.92,37.82,42.35,39.19,32.73,45.45,44.19,0.946
2021-10-19,Detroit Red Wings,Columbus Blue Jackets,2.92,1.77,62.18,57.65,60.81,67.27,54.55,55.81,1.054
2021-10-19,Florida Panthers,Tampa Bay Lightning,1.46,1.64,47.08,52.05,49.12,53.33,38.46,54.76,1.036
2021-10-19,Tampa Bay Lightning,Florida Panthers,1.64,1.46,52.92,47.95,50.88,46.67,61.54,45.24,0.964
2021-10-19,New Jersey Devils,Seattle Kraken,2.73,1.85,59.55,50.59,53.73,54.17,68.0,55.32,1.07
2021-10-19,Seattle Kraken,New Jersey Devils,1.85,2.73,40.45,49.41,46.27,45.83,32.0,44.68,0.93
2021-10-19,Dallas Stars,Pittsburgh Penguins,1.61,1.5,51.79,42.35,45.16,51.11,53.33,52.5,0.998
2021-10-19,Pittsburgh Penguins,Dallas Stars,1.5,1.61,48.21,57.65,54.84,48.89,46.67,47.5,1.002
2021-10-19,Colorado Avalanche,Washington Capitals,1.13,2.87,28.25,35.37,32.26,34.69,27.78,33.33,0.903
2021-10-19,Washington Capitals,Colorado Avalanche,2.87,1.13,71.75,64.63,67.74,65.31,72.22,66.67,1.097
2021-10-19,Chicago Blackhawks,New York Islanders,2.02,1.13,64.16,57.29,56.52,57.41,83.33,63.89,0.858
2021-10-19,New York Islanders,Chicago Blackhawks,1.13,2.02,35.84,42.71,43.48,42.59,16.67,36.11,1.142
2021-10-19,Los Angeles Kings,Nashville Predators,1.18,1.65,41.7,43.68,46.03,46.67,40.0,40.54,1.006
2021-10-19,Nashville Predators,Los Angeles Kings,1.65,1.18,58.3,56.32,53.97,53.33,60.0,59.46,0.994
2021-10-19,Minnesota Wild,Winnipeg Jets,2.12,1.18,64.32,56.84,60.0,62.75,71.43,68.89,0.905
2021-10-19,Winnipeg Jets,Minnesota Wild,1.18,2.12,35.68,43.16,40.0,37.25,28.57,31.11,1.095
2021-10-19,Anaheim Ducks,Edmonton Oilers,1.88,2.72,40.81,52.75,50.75,50.0,31.58,45.45,1.04
2021-10-19,Edmonton Oilers,Anaheim Ducks,2.72,1.88,59.19,47.25,49.25,50.0,68.42,54.55,0.96
2021-10-20,Boston Bruins,Philadelphia Flyers,3.31,1.66,66.6,62.16,63.51,63.33,80.0,67.86,0.897
2021-10-20,Philadelphia Flyers,Boston Bruins,1.66,3.31,33.4,37.84,36.49,36.67,20.0,32.14,1.103
2021-10-20,St Louis Blues,Vegas Golden Knights,3.14,3.16,49.85,47.27,45.24,46.48,55.17,55.88,1.034
2021-10-20,Vegas Golden Knights,St Louis Blues,3.16,3.14,50.15,52.73,54.76,53.52,44.83,44.12,0.966
2021-10-21,Carolina Hurricanes,Montreal Canadiens,1.59,1.67,48.69,50.6,56.25,57.45,50.0,47.62,1.074
2021-10-21,Montreal Canadiens,Carolina Hurricanes,1.67,1.59,51.31,49.4,43.75,42.55,50.0,52.38,0.926
2021-10-21,Ottawa Senators,San Jose Sharks,1.9,1.61,54.23,57.61,60.0,50.0,66.67,53.33,1.0
2021-10-21,San Jose Sharks,Ottawa Senators,1.61,1.9,45.77,42.39,40.0,50.0,33.33,46.67,1.0
2021-10-21,Calgary Flames,Detroit Red Wings,1.22,2.13,36.46,46.24,41.33,43.86,50.0,45.95,1.08
2021-10-21,Detroit Red Wings,Calgary Flames,2.13,1.22,63.54,53.76,58.67,56.14,50.0,54.05,0.92
2021-10-21,Colorado Avalanche,Florida Panthers,1.97,1.95,50.26,46.81,47.76,51.72,55.0,56.1,0.962
2021-10-21,Florida Panthers,Colorado Avalanche,1.95,1.97,49.74,53.19,52.24,48.28,45.0,43.9,1.038
2021-10-21,New Jersey Devils,Washington Capitals,2.37,2.93,44.77,49.45,46.38,47.83,54.17,50.85,0.833
2021-10-21,Washington Capitals,New Jersey Devils,2.93,2.37,55.23,50.55,53.62,52.17,45.83,49.15,1.167
2021-10-21,Columbus Blue Jackets,New York Islanders,1.68,2.35,41.76,46.07,44.93,46.15,47.37,48.0,0.97
2021-10-21,New York Islanders,Columbus Blue Jackets,2.35,1.68,58.24,53.93,55.07,53.85,52.63,52.0,1.03
2021-10-21,Chicago Blackhawks,Vancouver Canucks,1.76,1.13,60.91,52.63,51.92,57.14,82.35,62.5,0.867
2021-10-21,Vancouver Canucks,Chicago Blackhawks,1.13,1.76,39.09,47.37,48.08,42.86,17.65,37.5,1.133
2021-10-21,Nashville Predators,New York Rangers,1.75,1.77,49.69,54.05,52.31,54.55,41.67,46.15,0.942
2021-10-21,New York Rangers,Nashville Predators,1.77,1.75,50.31,45.95,47.69,45.45,58.33,53.85,1.058
2021-10-21,Anaheim Ducks,Winnipeg Jets,2.47,1.31,65.33,56.18,56.92,60.78,66.67,54.76,0.85
2021-10-21,Winnipeg Jets,Anaheim Ducks,1.31,2.47,34.67,43.82,43.08,39.22,33.33,45.24,1.15
2021-10-21,Arizona Coyotes,Edmonton Oilers,1.3,1.76,42.53,43.96,46.38,51.02,35.71,45.0,0.957
2021-10-21,Edmonton Oilers,Arizona Coyotes,1.76,1.3,57.47,56.04,53.62,48.98,64.29,55.0,1.043
2021-10-22,Boston Bruins,Buffalo Sabres,1.69,2.25,42.98,35.48,39.71,40.38,36.0,30.77,1.063
2021-10-22,Buffalo Sabres,Boston Bruins,2.25,1.69,57.02,64.52,60.29,59.62,64.0,69.23,0.937
2021-10-22,San Jose Sharks,Toronto Maple Leafs,2.34,3.1,43.01,41.84,43.24,49.06,46.15,37.5,1.043
2021-10-22,Toronto Maple Leafs,San Jose Sharks,3.1,2.34,56.99,58.16,56.76,50.94,53.85,62.5,0.957
2021-10-22,Dallas Stars,Los Angeles Kings,0.72,1.59,31.08,38.46,35.85,27.78,30.77,41.67,0.962
2021-10-22,Los Angeles Kings,Dallas Stars,1.59,0.72,68.92,61.54,64.15,72.22,69.23,58.33,1.038
2021-10-22,Edmonton Oilers,Vegas Golden Knights,1.83,2.31,44.29,40.2,38.46,39.29,31.58,39.02,1.048
2021-10-22,Vegas Golden Knights,Edmonton Oilers,2.31,1.83,55.71,59.8,61.54,60.71,68.42,60.98,0.952
2021-10-23,Detroit Red Wings,Montreal Canadiens,1.55,1.85,45.57,43.01,46.55,50.0,33.33,38.78,0.8
2021-10-23,Montreal Canadiens,Detroit Red Wings,1.85,1.55,54.43,56.99,53.45,50.0,66.67,61.22,1.2
2021-10-23,New York Rangers,Ottawa Senators,1.33,1.48,47.27,46.84,42.31,40.0,75.0,42.86,1.024
2021-10-23,Ottawa Senators,New York Rangers,1.48,1.33,52.73,53.16,57.69,60.0,25.0,57.14,0.976
2021-10-23,Colorado Avalanche,Tampa Bay Lightning,1.1,1.83,37.49,42.42,38.18,37.84,41.67,45.45,1.056
